"day_pos","date_time","date_time_exp","sent_num","text"
14,"2016-08-15 20:08:03","2016-08-15 19:30:00",-1,"We have forgotten pieces for which we went to IKEA, so I need to go there back and buy them. Which is unpleasant #n #xpb"
15,"2016-08-15 20:15:29","2016-08-15 20:15:00",-1,"I am back at IKEA and I need to find a pieces which we are looking for and then I can go quickly to home. I have enough for today #n #xpb"
16,"2016-08-15 22:01:19","2016-08-15 21:45:00",-1,"Moving things and furniture from one room to another is making the mess in the whole flat. I am looking forward to finish it #n #xpb"
17,"2016-08-15 22:31:02","2016-08-15 22:30:00",1,"Kids cannot sleep. They are having fun from us meanwhile we are watching Preacher episode and relaxing with water melone #p #xpb"
18,"2016-08-15 23:22:33","2016-08-15 23:15:00",1,"Eating sandwich and watching another episode of Preacher and it's becoming really interesting we just discovered hell #p #xpb"
19,"2016-08-16 00:00:55","2016-08-15 23:59:59",1,"I am going to sleep today I will continue study tomorrow. Maybe during the day, maybe not. I have plenty to do #p #xpb"
1,"2016-08-16 07:33:35","2016-08-16 07:30:00",-1,"Second day od tweeting. I am interested if I make full set of tweets today. Yesterday I started late, so I haven't which is pity #n #xpb"
2,"2016-08-16 08:46:05","2016-08-16 08:15:00",1,"It is lazy morning today. After arriving to work I had delicious breakfast and currently I am waiting for daily status meeting #p #xpb"
3,"2016-08-16 09:22:03","2016-08-16 09:00:00",1,"Meeting is over. It's summer time, so nobody wants to work hard. We have not so much issues to discuss and solve. #p #xpb"
4,"2016-08-16 09:52:25","2016-08-16 09:45:00",1,"Just discussed issue with colleague and meanwhile he will fix it I can work on something else more productive #p #xpb"
5,"2016-08-16 10:31:05","2016-08-16 10:30:00",-1,"Back with testing tasks which is always lot of work and little bit annoying, but I need to do that, because I defined changes #n #xpb"
6,"2016-08-16 11:21:00","2016-08-16 11:15:00",-1,"Few difficult topics appeared in front of me regarding design and they have priority or political background which is bummer #n #xpb"
7,"2016-08-16 12:14:01","2016-08-16 12:00:00",1,"After lunch is open space calm down and pieceful because we had lunch earlier than others. I have time to do the work in piece #p #xpb"
8,"2016-08-16 13:38:37","2016-08-16 13:30:00",-1,"I am fully occupied today, so I am sometimes forgetting to tweet about it. Which is unpleasant, because time is flying away #n #xpb"
9,"2016-08-16 15:08:40","2016-08-16 15:00:00",1,"Going to take a break with friends and have a coffee on the terrace. I need it I just finished one task then I can do another #p #xpb"
10,"2016-08-16 15:50:45","2016-08-16 15:45:00",1,"I am back finalizing the second task today. Then I can follow up with more priority tasks from tomorrow which is required #p #xpb"
11,"2016-08-16 16:31:29","2016-08-16 16:30:00",1,"Leaving the work early today because family will pick me up and we will go to the doctor for medical checks #p #xpb"
12,"2016-08-16 17:52:17","2016-08-16 17:15:00",-1,"After the doctor check which was good and quick we are going to look for my shoes I need some sneakers, but I hate shopping #n #xpb"
13,"2016-08-16 18:06:08","2016-08-16 18:00:00",-1,"Sitting in the Starbucks and enjoying cold drinks. Shopping isn't good, because they have poor choice and we need to go elsewhere #n #xpb"
14,"2016-08-16 18:56:41","2016-08-16 18:45:00",1,"We are continue shopping in Lidl it's necessary to collect some groceries and we are looking for really good clothes for kids #p #xpb"
15,"2016-08-16 20:06:39","2016-08-16 19:30:00",-1,"Finally I have chosen shoes, unfortunately they have color in any other store, but not this one, fuck. #n #xpb"
16,"2016-08-16 21:39:41","2016-08-16 21:00:00",1,"Back at home, kids are watching story tale and I can take a look at Petzl lamp for running. And figure out what to eat for dinner #p #xpb"
17,"2016-08-16 22:10:52","2016-08-16 21:45:00",1,"It was little fight to get kids into the bed and they are there now, so little victory. And I am going to take something for dinner #p #xpb"
18,"2016-08-16 22:35:18","2016-08-16 22:30:00",1,"Sandwich ready, new, last episode of Preacher also ready just waiting for my wife for watching it together. She will finish pasta #p #xpb"
19,"2016-08-16 23:52:10","2016-08-16 23:15:00",1,"After watching last season episode I am dealing with organization agenda and will follow with PhD study, because I have plenty to do #p #xpb"
1,"2016-08-17 07:37:30","2016-08-17 07:30:00",-1,"Blood pressure regularly measured first time today. It's really bad so I need to start to get medicine. And I hope it's better #n #xpb"
2,"2016-08-17 08:22:46","2016-08-17 08:15:00",-1,"Dark clouds surrounding area from three sides. I would be glad to get into office dry. I hope it not gonna happened #n #xpb"
3,"2016-08-17 09:15:09","2016-08-17 09:00:00",1,"Tasks for today are done. I need to just get something for breakfast, but I am waiting for college to not go alone #p #xpb"
4,"2016-08-17 10:29:55","2016-08-17 09:45:00",1,"During breakfast and later coffee I was discussing difficult topics with all parties involved, but it was in friendly atmosphere #p #xpb"
5,"2016-08-17 12:24:10","2016-08-17 12:00:00",1,"Returned back from lunch and then having desert on the terrace back to the gray reality of working process with requirements around #p #xpb"
6,"2016-08-17 13:31:08","2016-08-17 13:30:00",1,"Taking a small break after heavy design discussion about delta detection in third step of data transformation with my team leader #p #xpb"
7,"2016-08-17 14:16:15","2016-08-17 14:15:00",1,"Working finally back on the most prior task which is necessary as input for next design and implementation steps #p #xpb"
8,"2016-08-17 15:01:19","2016-08-17 15:00:00",-1,"It's difficult to be mediator between two parts which not trying to understand to each other. Ended with particular acknowledgement #n #xpb"
9,"2016-08-17 15:50:47","2016-08-17 15:45:00",1,"Finally I am close to finish analysis today and we can follow up with design. Which I can review, adjust and then do something else #p #xpb"
10,"2016-08-17 16:35:51","2016-08-17 16:30:00",1,"Analysis is almost over. I am sometimes surprised by complexity of mappings, but good message is that most of them are simple #p #xpb"
11,"2016-08-17 17:12:58","2016-08-17 16:30:00",1,"Leaving work today. Analysis has been done. I just need to do minor checks with developers and we can start testing simple pattern #p #xpb"
12,"2016-08-17 19:31:29","2016-08-17 19:30:00",1,"Shoes finally bought and kids are enjoying sliders, resp. only one, Maya is scared. And we are going to buy bread for dinner #p #xpb"
13,"2016-08-17 20:21:23","2016-08-17 20:15:00",1,"Preparing grill for dinner and helping charge Filips new Nerf shotgun which he is fascinated with. Look forward for grilled cheese #p #xpb"
14,"2016-08-17 21:08:18","2016-08-17 21:00:00",1,"Grilled cheese was delicious and now I am waiting for chicken steaks and then we will go to watch some movie in the bed #p #xpb"
15,"2016-08-17 21:59:14","2016-08-17 21:45:00",1,"Watching catastrophic movie Fifth Wave and relaxing and kids are watching story tale. So, we have pieceful evening #p #xpb"
16,"2016-08-17 22:41:44","2016-08-17 22:30:00",-1,"After the movie I need to start writing publication and fulfill school review form, which would be difficult, there is not much #n #xpb"
17,"2016-08-17 23:17:19","2016-08-17 23:15:00",1,"Movie started to get dramatic and interesting even though it looked as B class movie at the beginning we are enjoying it #p #xpb"
18,"2016-08-18 00:49:25","2016-08-17 23:59:59",1,"Fulfilling stadium review form wasn't such bad as I thought. At the end of the day I have done lot of work last school year #p #xpb"
1,"2016-08-18 07:38:13","2016-08-18 07:30:00",-1,"Little bit rough morning. I would sleep little bit longer, but I need to go to work. Still two days are in front of me. #n #xpb"
2,"2016-08-18 08:18:37","2016-08-18 08:15:00",-1,"Again at the train station and again for the later train, but not in hurry and not swet so much as it would happen when I would run #n #xpb"
3,"2016-08-18 09:47:03","2016-08-18 09:45:00",1,"Analysis completely finished and I can do something else. And delegate testing of different cases to college developer #p #xpb"
4,"2016-08-18 11:50:34","2016-08-18 11:15:00",1,"Delegated work to developer to prepare the tests from subset of identified and analyzed cases and had a quick lunch with college #p #xpb"
5,"2016-08-18 12:12:19","2016-08-18 12:00:00",1,"Going to solve two tasks together, by first I will generate input for second one which is convenient and makes my life easier #p #xpb"
6,"2016-08-18 13:06:21","2016-08-18 12:45:00",1,"I left work early today to go shopping with family to Germany and then follow up with work in late afternoon and finish some tasks #p #xpb"
7,"2016-08-18 13:39:28","2016-08-18 13:30:00",-1,"Back at home taking a family members and going to car. It's necessary to convince kids we are going and close the windows #n #xpb"
8,"2016-08-18 14:48:08","2016-08-18 14:15:00",-1,"We have just arrived to Germany for grocery shopping. Wife is complaining about so much cars on the parking lot thus crowded mall #n #xpb"
9,"2016-08-18 16:00:41","2016-08-18 15:45:00",-1,"Shopping with two small kids is nightmare. They are bored so inventing bullishits and doing anything which is not good at all #n #xpb"
10,"2016-08-18 16:50:09","2016-08-18 16:30:00",1,"Shopping is done. Groceries in the car, kids and family as well. Car has full tank and we are heading back to home #p #xpb"
11,"2016-08-18 20:01:46","2016-08-18 19:30:00",1,"Groceries organized, kids are watching story tale and pizza is in the owen, so we can find a movie for tonight and relax in the bed #p #xpb"
12,"2016-08-18 20:34:31","2016-08-18 20:15:00",-1,"Pizza is not so good as we are usually buying. But I eat it anyway  because I am hungry. But we will not buy it anymore #n #xpb"
13,"2016-08-18 21:13:21","2016-08-18 21:00:00",1,"The movie is really good. Discovered new disease and do the publication about it has to be defended. I like it #p #xpb"
14,"2016-08-18 21:47:35","2016-08-18 21:45:00",-1,"Kids are terrible, they down want to sleep they just making noise and disturbing us during watching movie. Not such pleasant evening #n #xpb"
15,"2016-08-18 22:36:10","2016-08-18 22:30:00",1,"I need to say that Concussion is really good movie based on terrible and interesting true story. I was in the mood for such movie #p #xpb"
16,"2016-08-18 23:16:08","2016-08-18 23:15:00",1,"Finally working on publication for @GigaScience and using my PhD  supervisor publication as inspiration and partially as template #p #xpb"
17,"2016-08-19 00:02:42","2016-08-18 23:59:59",1,"I have put into draft so far 3 pages with chapters and populate them. It's going pretty well and faster than I have expected #p #xpb"
1,"2016-08-19 08:49:35","2016-08-19 08:15:00",1,"I have overslept so I am going to work right now, but I am lucky because train is late so I can be there earlier than I thought #p #xpb"
2,"2016-08-19 09:40:28","2016-08-19 09:00:00",1,"It was hurry morning and I am finally stabilizing and starting to work on my tasks which I would like to finally finish today. #p #xpb"
3,"2016-08-19 10:22:04","2016-08-19 09:45:00",1,"After discussing problem with team leader we have found together solution and improved it to the state of art, so good morning #p #xpb"
4,"2016-08-19 11:12:51","2016-08-19 10:30:00",1,"Thanks God is Friday I really like my work, but this week was practically endless. And I have really good feelings about weekend #p #xpb"
5,"2016-08-19 11:41:15","2016-08-19 11:15:00",1,"It's a lunch time with fish for lunch which is convenient because it's something which I have taste for and makes me happy #p #xpb"
6,"2016-08-19 12:23:44","2016-08-19 12:00:00",-1,"After lunch I feel sleepy, but I need to finish as much as possible today to have clean table on Monday for one priority task #n #xpb"
7,"2016-08-19 13:43:47","2016-08-19 13:30:00",1,"Organizing issues in tracking system and also consulting the adaption of college proof of the concept which is complex #p #xpb"
8,"2016-08-19 14:03:42","2016-08-19 13:30:00",1,"I have found the issue with problematic character and also the solution, but it's not elegant, so I need to make it more flexible #p #xpb"
9,"2016-08-19 14:43:48","2016-08-19 14:15:00",1,"Designing something with someone who understands what he is doing is refreshing and really good for learn something from each other #p #xpb"
10,"2016-08-19 15:51:06","2016-08-19 15:45:00",1,"Problem was reported as issue on the source system, so I can move on and solve another task which is in my queue #p #xpb"
11,"2016-08-19 16:53:16","2016-08-19 16:30:00",-1,"I some cannot follow the alarms about tweeting, but it doesn't matter till I not forget completely which is pity #n #xpb"
12,"2016-08-19 17:16:29","2016-08-19 17:15:00",1,"Finishing the second task today and will go home to relax with family. I need to enjoy playing with kids maybe build Lego robot #p #xpb"
13,"2016-08-19 18:04:49","2016-08-19 18:00:00",1,"I am back at home and I will ask family who will cut my hair with haircut machine. I expect that all of them want to do that #p #xpb"
14,"2016-08-19 19:07:51","2016-08-19 18:45:00",1,"Going to buy some fresh bread and ice cream for my wife. Kids collected puzzle so I hope they will behave nicely #p #xpb"
15,"2016-08-19 19:34:36","2016-08-19 19:30:00",-1,"Finish shopping and going home to have a dinner and then relax. After yesterday five hours spent by shopping I am fed up with that #n #xpb"
16,"2016-08-19 20:27:40","2016-08-19 20:15:00",1,"Homemade goulash with fresh bread is my favorite meal for dinner especially made and served with love from my wife. I love her much #p #xpb"
17,"2016-08-19 21:09:18","2016-08-19 21:00:00",1,"We are watching movie and relaxing in the bed with my wife. It's interesting movie about new technologies and corporate espionage #p #xpb"
18,"2016-08-19 22:41:47","2016-08-19 22:30:00",-1,"Kids are terrible, because they down wanted to sleep. So, we need to keep them in bed with eyes closed. And meanwhile watching movie #n #xpb"
19,"2016-08-19 23:46:37","2016-08-19 23:15:00",1,"Everybody is sleeping so I have time for me. I will take a look at some episodes on internet and will go sleep and work tomorrow #p #xpb"
20,"2016-08-20 00:37:09","2016-08-19 23:59:59",1,"I am going to sleep and will continue with work and relax tomorrow. We will see what weather would be tomorrow #p #xpb"
1,"2016-08-20 10:28:20","2016-08-20 09:45:00",-1,"Witness of the Jehova woke me up and it was such nice morning before. I don't like this church because they are sect for me #n #xpb"
2,"2016-08-20 11:06:17","2016-08-20 10:30:00",1,"Ready to have a breakfast, porridge with blueberries and fried almonds. Prepared with love from my wife. Morning is becoming better #p #xpb"
3,"2016-08-20 11:40:12","2016-08-20 11:15:00",1,"Diastolic blood pressure is going down, so it looks like medication helps. It would be good if systolic will go down as well #p #xpb"
4,"2016-08-20 12:56:20","2016-08-20 12:45:00",1,"I have new haircut. It was fight because haircut machine is old and thus it doesn't have enough power, but we succeed #p #xpb"
5,"2016-08-20 13:31:53","2016-08-20 13:30:00",-1,"We are in terrible full shopping center because kids are going to choose something for birthday and name day #n #xpb"
6,"2016-08-20 14:44:49","2016-08-20 14:15:00",-1,"With rainy weather and because is Saturday which is shopping day the commutation of people in shopping malls increasing #n #xpb"
7,"2016-08-20 15:02:32","2016-08-20 15:00:00",-1,"Little bit crowded in the toys shopping center with hysterical parents and uncontrolled kids who are running around what disaster #n #xpb"
8,"2016-08-20 16:13:09","2016-08-20 15:45:00",-1,"I got headache from offering to our spoiled kids something as gift in toystore. They cannot choose so it mades me tired #n #xpb"
9,"2016-08-20 17:17:28","2016-08-20 17:15:00",1,"Finally at home and relaxing in the bed. Kids are watching star wars. And we are going to take a look at He is here again #p #xpb"
10,"2016-08-20 18:23:32","2016-08-20 18:00:00",1,"We have the friends here for visit and finally enjoying the day, because it's pleasant and improving our day #p #xpb"
11,"2016-08-20 19:26:30","2016-08-20 18:45:00",1,"We have many great topics and getting really interesting information. The visit is good and we have sweet times #p #xpb"
12,"2016-08-20 19:53:08","2016-08-20 19:30:00",-1,"Sharing this not so funny story about how the floor company finished our floor in apartment which is in bad shape #n #xpb"
13,"2016-08-20 20:33:55","2016-08-20 20:15:00",-1,"Watching the movie back again and relaxing with small headache which didn't let go after we returned from shopping before #n #xpb"
14,"2016-08-20 21:07:16","2016-08-20 21:00:00",1,"The movie is magnificent. It's long but it's having really good plot. Unbelievable thing is that Germany accepts it no complaints #p #xpb"
15,"2016-08-20 21:59:07","2016-08-20 21:45:00",-1,"I needed to take a medicine against headache. I hope it helps quickly, because it's annoying and makes me really tired #n #xpb"
1,"2016-08-21 10:24:32","2016-08-21 09:45:00",1,"We have really good morning, I woke up few minutes Maya came to our bed and we have nice discussion about star wars movie #p #xpb"
2,"2016-08-21 10:50:42","2016-08-21 10:30:00",1,"I have prepared breakfast for kids with few funny moments and currently reading morning news in the bed again next to my wife #p #xpb"
3,"2016-08-21 11:39:25","2016-08-21 11:15:00",1,"I can eat porridge with blueberries, almond and maple syrup for breakfast everyday when it's prepared by my lovely wife #p #xpb"
4,"2016-08-21 12:06:45","2016-08-21 12:00:00",1,"Almost ready for rearrange our flat. Kids decided they want to live separately so we get the biggest room as parents bedroom #p #xpb"
5,"2016-08-21 13:20:03","2016-08-21 12:45:00",1,"Dressing up the cheapest matrace from IKEA by its cover it's nightmare, because it  provides terrible adhesion. But we made it #p #xpb"
6,"2016-08-21 13:58:46","2016-08-21 13:30:00",1,"Disassembling kids bed is lot of fun with their help and also requires lot of discipline from me to manage they are not hurt #p #xpb"
7,"2016-08-21 14:38:31","2016-08-21 14:15:00",1,"I have prepared potatoes for baking in owen and I am going to prepare meet for grill it would be good lunch today #p #xpb"
8,"2016-08-21 15:03:19","2016-08-21 15:00:00",-1,"Meet is prepared and marinated in the spice and I need to prepare grill which is really dirty from last usage. Ugly stuff #n #xpb"
9,"2016-08-21 16:16:21","2016-08-21 15:45:00",1,"In the middle of grilling. Kids are already eating and like it and I am preparing the meal for us. We need to try new kind of butter #p #xpb"
10,"2016-08-21 17:04:31","2016-08-21 16:30:00",1,"Grill is over we are completely full, but it was delicious and since it was lunch and dinner together it isn't such bad to be full #p #xpb"
11,"2016-08-21 17:38:01","2016-08-21 17:15:00",1,"Bed is in the new bedroom and we need to clean up the old bedroom to prepare it for sons bed which looks like red formule 1 #p #xpb"
12,"2016-08-21 17:56:59","2016-08-21 17:15:00",1,"Moving the stuff is almost done. I hate moving, but good thing is that I have found several stuff which I have looked for #p #xpb"
13,"2016-08-21 18:20:56","2016-08-21 18:00:00",1,"Relaxing in the bed and kids are watching another star wars. It's just a few things which is necessary to move to the sons bedroom. #p #xpb"
14,"2016-08-21 19:18:25","2016-08-21 18:45:00",1,"Watching what kids are doing outside. Daughter is jumping in the trampoline and son is shooting from Nerf guns with his friend #p #xpb"
15,"2016-08-21 20:24:58","2016-08-21 20:15:00",-1,"Mounting sons bed in the red formula 1 shape and having lot of fun with that without assembly guide and sometimes no clue #n #xpb"
16,"2016-08-21 21:41:13","2016-08-21 21:00:00",-1,"Almost finishing the bed. It's real brain teaser and we are wondering who designed it in such way. And I hope we sell it soon #n #xpb"
17,"2016-08-21 22:09:59","2016-08-21 21:45:00",-1,"When finished with assembling the main corpus and started with grid below matrace it had been weird and it's ugly design at all #n #xpb"
18,"2016-08-21 22:44:45","2016-08-21 22:30:00",1,"The last few things is necessary to organize and take out the garbage and we can take a shower and get into the bed to rest a bit #p #xpb"
19,"2016-08-21 23:27:04","2016-08-21 23:15:00",1,"Reading newspapers and relaxing in the bed most likely we will watch #suits series the last available episode. Finish for this week #p #xpb"
20,"2016-08-22 00:18:39","2016-08-21 23:59:59",1,"Last available episode of #suits is over we would watch another one if there would be already because this one ended in the middle #p #xpb"
1,"2016-08-22 07:56:15","2016-08-22 07:30:00",1,"Morning isn't such bad as I thought because we went sleep late and need to be wake up early it's kids first day in the kindergarten #p #xpb"
2,"2016-08-22 08:20:30","2016-08-22 08:15:00",1,"Having breakfast with my beautiful wife is perfect start of the day. Then we will go together first time with son to kindergarten #p #xpb"
3,"2016-08-22 09:01:15","2016-08-22 09:00:00",1,"Having good time with my son during talking about his new Lego which he is fascinated by, but he cannot unbox it till next weekend #p #xpb"
4,"2016-08-22 09:46:58","2016-08-22 09:45:00",1,"Going with son first time to the kindergarten and he is explaining us what he show us there. He is such excited to go there #p #xpb"
5,"2016-08-22 10:58:34","2016-08-22 10:30:00",1,"We are back at home. And I will work for one hour then I need to pick up the daughter from the kindergarten and go to work #p #xpb"
6,"2016-08-22 11:23:21","2016-08-22 11:15:00",1,"We are visiting the friends and enjoying they are back at home so we can listen their stories from holidays and have a big fun #p #xpb"
7,"2016-08-22 12:19:13","2016-08-22 12:00:00",1,"I still cougt right train to work with little bit running. Which will take me to work quickly and easily, I don't need to stay long #p #xpb"
8,"2016-08-22 13:11:14","2016-08-22 12:45:00",1,"Back in the work and after lunch. I need to finish two tasks today and then I can leave, so let's see how fast I am #p #xpb"
9,"2016-08-22 14:22:02","2016-08-22 14:15:00",1,"Fully occupied so I am forgetting to tweet about what is happening to me. But I am close to finish first task #p #xpb"
10,"2016-08-22 15:09:19","2016-08-22 15:00:00",1,"Some problems are solving by them selfs as the people around me are continuing to work on them which is good I am not overload then #p #xpb"
11,"2016-08-22 16:09:51","2016-08-22 15:45:00",1,"I have implemented the task and I have described it, so I need to just deploy it and let know college to include it in next package #p #xpb"
12,"2016-08-22 16:44:26","2016-08-22 16:30:00",1,"Deployment finished task assigned to release manager with notice what else to adjust and I can follow up with other tasks #p #xpb"
13,"2016-08-22 17:21:52","2016-08-22 17:15:00",-1,"Discussed with project manager my next weekend standby mode for go life support and I will get final information on Wednesday #n #xpb"
14,"2016-08-22 18:03:16","2016-08-22 18:00:00",1,"After more than five hours of work where the missing hours I will catch later during this week I am finally going home #p #xpb"
15,"2016-08-22 18:55:15","2016-08-22 18:45:00",1,"Back at home I can relax on the balcony and we have the neighbor from downstairs and it's good to talk with someone outside the work #p #xpb"
16,"2016-08-22 19:48:03","2016-08-22 19:30:00",1,"We are ordering the flat and preparing stuff for tomorrow. Son is ordering his stuff and daughter is going out for few minutes #p #xpb"
17,"2016-08-22 20:50:51","2016-08-22 20:15:00",-1,"We have ordered pizzas and we will watch some movie. Question is if there is something interesting or we will just take B class #n #xpb"
18,"2016-08-22 21:47:44","2016-08-22 21:45:00",1,"Watching American Ultra movie which based on the thriller looks interesting still B class, but interesting. Waiting for the action #p #xpb"
19,"2016-08-22 22:35:28","2016-08-22 22:30:00",1,"Movie is becoming interesting and we are currently understanding the plot. It's a good relax. Kids are sleeping nicely #p #xpb"
20,"2016-08-22 23:29:08","2016-08-22 23:15:00",1,"Taking the shower and going to study when everything around is sleeping and world is quiet and calmed down #p #xpb"
21,"2016-08-23 00:01:24","2016-08-22 23:59:59",1,"Watching and progressing with Introduction to Apache Spark on @edXOnline which I forgot to. It's interesting, but where to use it #p #xpb"
1,"2016-08-23 07:39:54","2016-08-23 07:30:00",-1,"It looked like blood pressure is decreasing with more and more days when I am taking medicine, but not yet, maybe next week #n #xpb"
2,"2016-08-23 10:15:35","2016-08-23 09:45:00",-1,"I am little bit under the pressure of answering all the questions about design of housekeeping and also writing down design document #n #xpb"
3,"2016-08-23 10:58:13","2016-08-23 10:30:00",1,"I have finished one description in design document and few new open issues arise so I need to put them in issue tracking system #p #xpb"
4,"2016-08-23 11:58:19","2016-08-23 11:15:00",1,"Lunch is over and we are enjoying the conversation with friends and colleagues on the terrace with desserts and coffee #p #xpb"
5,"2016-08-23 12:29:07","2016-08-23 12:00:00",1,"Back at the work and preparing for presentation which I have next hour. I expect passionate discussion but maybe it doesn't happen #p #xpb"
6,"2016-08-23 12:46:07","2016-08-23 12:45:00",-1,"I am little bit nervous before presentation there will be big audience and lot of college have interest in this topic #n #xpb"
7,"2016-08-23 13:44:12","2016-08-23 13:30:00",1,"Presentation was good. It took only half an hour and almost nobody had a questions. And there was thirteen people including me #p #xpb"
8,"2016-08-23 14:47:11","2016-08-23 14:15:00",1,"Working on my third task today that means it's really good day. And I will finish earlier to manage post and arrive early to home #p #xpb"
9,"2016-08-23 15:04:29","2016-08-23 15:00:00",1,"Listening music from @YouTube and putting pieces together to have full design about delta transformation next topic for presentation #p #xpb"
10,"2016-08-23 16:21:31","2016-08-23 15:45:00",1,"Team leader to asked me to plan the meeting about ETL design and go discuss with him right away, so we have sit last hour on terrace #p #xpb"
11,"2016-08-23 16:39:19","2016-08-23 16:30:00",-1,"Back to the description of delta detection in ETL design. It's lot of information which I need to fit into description #n #xpb"
12,"2016-08-23 17:15:23","2016-08-23 17:15:00",1,"I am almost ready with basics description and currently looking if the design is in compliance what was written before #p #xpb"
13,"2016-08-23 18:21:17","2016-08-23 18:00:00",1,"Kids are running around and playing with water it's such hot that's good idea. It's good to be home and have watermelon for dinner #p #xpb"
14,"2016-08-23 18:56:54","2016-08-23 18:45:00",1,"Drinking orange flavor rum on the balcony and relaxing in the late afternoon sun with family around. It's beautiful afternoon #p #xpb"
15,"2016-08-23 19:37:58","2016-08-23 19:30:00",1,"Sun is going slowly down and temperature on the balcony is more than good with my beautiful wife and glass of tasty rum #p #xpb"
16,"2016-08-23 20:34:40","2016-08-23 20:15:00",1,"In the bed with my wife watching @YouTube like internet TV @streamCZ especially #KokoFood and her latest twenty minutes recipe #p #xpb"
17,"2016-08-23 21:01:23","2016-08-23 21:00:00",1,"Downloading movie for tonight and formating new micro SD card in my @GoPro Session camera to have it ready any time next time #p #xpb"
18,"2016-08-23 21:48:15","2016-08-23 21:45:00",-1,"First movie wasn't ok so I have downloaded another one. Let's see if my wife like it more or not at all #n #xpb"
19,"2016-08-23 22:48:47","2016-08-23 22:30:00",1,"The whole family is sleeping so I am going to continue with The Big Short movie and then study for my PhD a little bit #p #xpb"
20,"2016-08-23 23:24:44","2016-08-23 23:15:00",1,"Movie is good, full of technical financial terms, but really good. It's about the hunch about mortgage bubble, but in 2005 #p #xpb"
21,"2016-08-24 00:20:31","2016-08-23 23:59:59",1,"Movie is damn good and I like it. It's still grades the tension of plot it's just a question when it blows. Maybe at the end #p #xpb"
1,"2016-08-24 07:56:17","2016-08-24 07:30:00",1,"Today woke up was good. I went to woke up son and took him with blanket to the breakfast table and he had good morning then #p #xpb"
2,"2016-08-24 08:28:13","2016-08-24 08:15:00",-1,"I just arrived to the work and bough cereals and bun for breakfast. Today I have found that blood pressure is not decreasing #n #xpb"
3,"2016-08-24 09:38:49","2016-08-24 09:00:00",-1,"In the most busy morning time my wife decided to order some clothes for me. She knows how I hate to choose things online #n #xpb"
4,"2016-08-24 09:48:08","2016-08-24 09:45:00",-1,"Currently I have time to work on my stuff. It was little bit hectic morning everyone wants something and several tasks was defined #n #xpb"
5,"2016-08-24 10:57:30","2016-08-24 10:30:00",-1,"Completely confused by mapping which has been simply one to one and somebody changed it and enhanced about four more tables #n #xpb"
6,"2016-08-24 11:27:35","2016-08-24 11:15:00",1,"Today is pizza day which brights my day because it's starts to be hectic here with dealing few stuff in parallel #p #xpb"
7,"2016-08-24 12:30:23","2016-08-24 12:00:00",-1,"Today wasn't pizza day so I have good lunch but no pizza. So disappointed and so dissatisfied like never before and my college fault #n #xpb"
8,"2016-08-24 12:54:05","2016-08-24 12:45:00",-1,"Back to work on design which I need to finish and then I can start with testing. Which is usually most boring part of my work #n #xpb"
9,"2016-08-24 13:37:37","2016-08-24 13:30:00",-1,"The complex processes which I am designing is nobody questioning the simplest everyone who has but hole, everybody understands them #n #xpb"
10,"2016-08-24 15:01:11","2016-08-24 15:00:00",1,"Listening @PTXofficial on @Spotify and working on the delta design example cases which I want to describe in the design document #p #xpb"
